Date,Close,High,Low,Open,Volume,Stock
04-04-2024,1507.020996,1509.388689,1483.738946,1483.738946,44467533,HDFCBANK.NS
05-04-2024,1528.675293,1533.558561,1509.536616,1518.267369,29527951,HDFCBANK.NS
08-04-2024,1525.765015,1536.271568,1520.783118,1534.002504,10241470,HDFCBANK.NS
09-04-2024,1527.688721,1533.903778,1519.549861,1533.903778,10942247,HDFCBANK.NS
10-04-2024,1515.653076,1529.020586,1512.298855,1529.020586,13903700,HDFCBANK.NS
12-04-2024,1498.487427,1509.240612,1493.06152,1500.509858,20542104,HDFCBANK.NS
15-04-2024,1474.564087,1489.658021,1471.949883,1477.375789,11707624,HDFCBANK.NS
16-04-2024,1488.918213,1492.519066,1462.281942,1466.967953,10372443,HDFCBANK.NS
18-04-2024,1474.564087,1498.388774,1470.963354,1489.460763,17117442,HDFCBANK.NS
19-04-2024,1510.671143,1514.271875,1460.308814,1466.523992,17288217,HDFCBANK.NS
22-04-2024,1491.828369,1536.41953,1487.981004,1536.41953,21149219,HDFCBANK.NS
23-04-2024,1487.290405,1505.935819,1482.99903,1505.738561,13413530,HDFCBANK.NS
24-04-2024,1491.335083,1501.249743,1488.720879,1494.590675,11220790,HDFCBANK.NS
25-04-2024,1490.397949,1499.227331,1485.958571,1485.958571,17722602,HDFCBANK.NS
26-04-2024,1489.460815,1507.415586,1485.268069,1499.326101,12427347,HDFCBANK.NS
29-04-2024,1508.895386,1513.778654,1486.254604,1494.590722,18046675,HDFCBANK.NS
30-04-2024,1499.621948,1518.760625,1494.492048,1508.599334,26153691,HDFCBANK.NS
02-05-2024,1511.608276,1516.294287,1499.868563,1501.496359,16737503,HDFCBANK.NS
03-05-2024,1499.128662,1519.84576,1486.895685,1512.5948,15932621,HDFCBANK.NS
06-05-2024,1502.137695,1513.828034,1496.711788,1501.496428,14396698,HDFCBANK.NS
07-05-2024,1485.859985,1503.51887,1483.886928,1501.447064,14240301,HDFCBANK.NS
08-05-2024,1462.676514,1476.783799,1460.40745,1475.797271,20843931,HDFCBANK.NS
09-05-2024,1428,1466.721244,1425.829685,1455.080159,23140639,HDFCBANK.NS
10-05-2024,1437.900024,1451.949951,1426.800049,1439,13638304,HDFCBANK.NS
13-05-2024,1455.25,1459.800049,1430.300049,1432,13523601,HDFCBANK.NS
14-05-2024,1460.949951,1465.5,1450.300049,1452.25,12832571,HDFCBANK.NS
15-05-2024,1438.5,1459.699951,1435.800049,1459.699951,19465998,HDFCBANK.NS
16-05-2024,1460.25,1462.550049,1435.5,1446.050049,17472618,HDFCBANK.NS
17-05-2024,1464.099976,1468,1446.199951,1446.199951,10460095,HDFCBANK.NS
21-05-2024,1458.800049,1469.699951,1450.099976,1450.099976,21884989,HDFCBANK.NS
22-05-2024,1459.199951,1465.599976,1448.150024,1457.849976,19998139,HDFCBANK.NS
23-05-2024,1492.599976,1495.650024,1457.050049,1458.650024,20430960,HDFCBANK.NS
24-05-2024,1517.199951,1519.900024,1486,1487.5,15530103,HDFCBANK.NS
27-05-2024,1527.699951,1545,1519.050049,1523.349976,14692720,HDFCBANK.NS
28-05-2024,1530.5,1536.050049,1524.800049,1530.099976,13954452,HDFCBANK.NS
29-05-2024,1508.300049,1523.849976,1501.25,1518,17573853,HDFCBANK.NS
30-05-2024,1514.849976,1523.599976,1497.650024,1499.199951,16877675,HDFCBANK.NS
31-05-2024,1531.550049,1536,1514,1519,37039794,HDFCBANK.NS
03-06-2024,1572.199951,1599,1550,1599,36318628,HDFCBANK.NS
